#index, Paramètre P, Amplitude
415,164,43
416,145,9
417,188,42
418,152,31
419,179,39
420,195,73
421,150,40
422,139,10
423,170,53
424,188,23
425,200,18
426,152,34
427,151,39
428,184,27
429,187,75
430,169,111
431,192,11
432,155,46
433,191,12
434,149,59
435,191,77
436,162,16
437,193,31
438,160,98
439,11,7
440,190,81
441,204,30
442,175,30
443,166,121
444,192,74
445,148,23
446,163,61
447,72,8
448,151,26
449,179,9
450,169,9
451,184,62
452,153,82
453,154,48
454,162,121
455,169,55
456,195,18
457,190,52
458,148,9
459,194,34
460,159,115
461,190,77
462,145,15
463,189,67
464,167,112
465,148,222
466,191,69
467,160,113
468,162,53
469,171,18
470,169,110
471,209,13
472,169,44
473,97,8
474,191,42
475,161,82
476,161,13
477,193,82
478,161,70
479,163,52
480,198,80
481,170,9
482,195,35
483,199,80
484,162,26
485,173,77
486,146,32
487,186,17
488,157,72
489,131,17
490,190,41
491,170,47
492,164,92
493,181,38
494,178,80
495,177,13
496,187,15
497,177,79
498,162,35
499,158,41
500,185,55
501,194,39
502,171,22
503,157,104
504,157,55
505,164,100
506,168,43
507,168,24
508,164,115
509,148,23
510,201,83
511,178,8
512,161,109
513,156,69
514,189,64
515,191,17
516,49,8
517,149,37
518,167,20
519,165,41
520,150,50
521,191,22
522,195,63
523,181,17
524,187,68
525,186,23
526,167,100
527,185,31
528,175,45
529,160,60
530,196,82
531,181,32
532,170,101
533,177,73
534,160,58
535,165,55
536,161,111
537,149,104
538,194,41
539,157,92
540,156,41
541,179,11
542,154,115
543,161,124
544,165,101
545,157,41
546,155,35
547,188,90
548,180,79
549,151,38
550,148,36
551,152,26
552,132,21
553,192,81
554,164,26
555,195,51
556,141,30
557,153,41
558,155,29
559,182,77
560,191,50
561,156,110
562,196,82
563,158,63
564,163,96
565,157,106
566,163,50
567,188,46
568,151,18
569,162,33
570,182,57
571,159,112
572,157,11
573,187,51
574,170,112
575,152,7
576,176,93
577,95,8
578,164,52
579,157,43
580,191,77
581,186,31
582,157,107
583,181,41
584,160,41
585,186,32
586,186,67
587,199,81
588,159,108
589,159,107
590,184,10
591,191,71
592,174,39
593,163,37
594,157,40
595,185,48
596,157,41
597,156,81
598,194,45
599,163,106
600,68,9
601,190,31
602,170,36
603,182,37
604,167,32
605,152,24
606,200,36
607,166,26
608,174,17
609,185,14
610,165,114
611,160,45
612,189,15
613,174,83
614,165,53
615,188,75
616,203,27
617,72,7
618,192,52
619,182,8
620,188,76
621,181,29
622,161,100
623,188,9
624,207,64
625,170,16
626,187,27
627,175,18
628,173,82
629,184,49
630,166,66
631,128,14
632,157,38
633,191,28
634,165,65
635,186,23
636,161,28
637,166,118
638,184,23
639,93,10
640,196,86
641,161,40
642,165,112
643,165,97
644,156,54
645,120,8
646,158,104
647,162,8
648,164,96
649,142,25
650,164,76
651,161,51
652,202,33
653,166,113
654,188,36
655,199,39
656,183,64
657,164,22
658,190,75
659,137,12
660,160,50
661,157,56
662,87,9
663,165,122
664,154,65
665,192,90
666,194,88
667,160,49
668,167,10
669,197,76
670,195,32
671,178,58
672,197,26
673,165,113
674,157,103
675,192,74
676,174,31
677,169,124
678,173,42
679,186,48
680,144,19
681,191,49
682,188,97
683,179,74
684,167,40
685,183,15
686,138,21
687,191,36
688,172,26
689,169,104
690,160,112
691,194,12
692,200,11
693,201,17
694,188,85
695,152,52
696,191,21
697,201,24
698,186,54
699,156,11
700,158,104
701,155,80
702,196,27
703,160,115
704,191,20
705,193,24
706,190,28
707,164,91
708,161,19
709,166,105
710,210,34
711,142,51
712,165,113
713,178,46
714,182,21
715,178,40
716,164,103
717,187,33
718,153,135
719,168,46
720,202,24
721,162,28
722,184,74
723,174,84
724,194,11
725,182,29
726,155,40
727,162,111
728,184,27
729,177,24
730,157,60
731,35,11
732,157,36
733,175,47
734,184,9
735,62,8
736,167,104
737,160,53
738,168,91
739,175,35
740,162,73
741,197,32
742,183,50
743,161,37
744,73,13
745,154,34
746,169,35
747,25,7
748,165,112
749,161,43
750,95,9
751,189,76
752,184,49
753,168,56
754,150,68
755,154,49
756,183,70
757,184,79
758,191,21
759,165,107
760,157,45
761,178,25
762,196,60
763,190,24
764,183,41
765,160,115
766,155,7
767,200,32
768,152,30
769,160,57
770,77,11
771,181,49
772,182,82
773,169,20
774,188,115
775,171,95
776,160,164
777,174,16
778,169,14
779,207,48
780,160,25
781,187,69
782,195,53
783,182,18
784,160,58
785,164,50
786,184,19
787,154,59
788,149,32
789,151,96
790,160,106
791,169,117
792,152,30
793,157,33
794,177,14
795,173,92
796,151,20
797,156,57
798,169,10
799,154,101
800,179,33
801,181,26
802,295,32
803,169,11
804,143,14
805,156,115
806,164,76
807,160,109
808,205,30
809,152,134
810,141,29
811,161,65
812,161,104
813,193,33
814,159,12
815,151,54
816,162,89
817,199,71
818,156,109
819,163,118
820,62,8
821,181,82
822,173,96
823,167,48
824,149,29
825,142,47
826,142,12
827,188,55
828,160,41
829,181,71
830,184,34
831,181,36
832,193,69
833,79,10
834,200,17
835,175,8
836,159,33
837,165,47
838,162,111
839,198,19
840,180,26
841,166,37
842,171,74
843,156,114
844,147,12
845,173,106
846,190,32
847,184,65
848,178,20
849,150,42
850,152,76
851,162,60
852,150,37
853,192,71
854,175,31
855,196,28
856,61,12
857,154,100
858,157,65
859,205,16
860,155,47
861,189,71
862,151,23
863,161,107
864,165,10
865,157,101
866,183,29
867,159,46
868,162,11
869,189,39
870,181,21
871,154,62
872,170,98
873,179,43
874,198,64
875,190,25
876,160,133
877,171,114
878,166,55
879,182,28
880,177,48
881,190,30
882,155,43
883,181,19
884,188,75
885,158,42
886,199,22
887,159,79
888,191,9
889,184,22
890,160,26
891,165,95
892,157,37
893,168,43
894,194,13
895,181,28
896,155,86
897,164,37
898,193,42
899,165,17
900,164,20
901,193,40
902,174,11
903,163,99
904,155,41
905,173,7
906,192,69
907,160,96
908,141,42
909,183,50
910,162,115
911,147,15
912,167,42
913,167,48
914,189,34
915,196,24
916,177,130
917,18,7
918,154,77
919,193,46
920,182,21
921,165,39
922,158,90
923,148,125
924,187,29
925,162,81
926,174,42
927,172,113
928,152,56
929,185,94
930,194,68
931,160,108
932,153,35
933,82,8
934,157,58
935,190,69
936,194,15
937,182,8
938,158,78
939,171,71
940,157,55
941,163,46
942,189,24
943,176,85
944,203,23
945,169,53
946,176,53
947,154,75
948,153,28
949,150,22
950,162,10
951,167,32
952,200,27
953,157,39
954,186,59
955,162,40
956,166,22
957,165,101
958,158,68
959,172,107
960,167,8
961,156,105
962,186,56
963,149,39
964,195,82
965,163,34
966,185,18
967,177,17
968,182,74
969,190,23
970,161,103
971,188,193
972,166,47
973,136,9
974,158,51
975,162,25
976,175,9
977,167,142
978,192,65
979,138,33
980,203,46
981,66,8
982,169,55
983,167,46
984,181,46
985,198,21
986,74,8
987,180,94
988,174,81
989,165,31
990,172,63
991,158,9
992,133,34
993,180,28
994,152,17
995,161,56
996,167,119
997,171,15
998,197,54
999,163,100
1000,196,58
1001,162,108
1002,156,91
1003,200,35
1004,178,11
1005,161,29
1006,188,71
1007,181,18
1008,185,37
1009,191,29
1010,165,10
1011,194,83
1012,72,68
1013,185,68
1014,156,35
1015,165,22
1016,176,34
1017,185,49
1018,156,23
1019,166,84
1020,195,76
1021,158,109
1022,192,35
1023,181,83
1024,193,46
1025,147,65
1026,188,20
1027,199,35
1028,199,10
1029,170,21
1030,188,24
1031,159,102
1032,167,113
1033,153,40
1034,146,19
1035,164,103
1036,191,20
1037,160,66
1038,163,107
1039,186,72
1040,196,71
1041,210,13
1042,194,78
1043,181,106
1044,173,81
1045,194,53
1046,184,37
1047,184,72
1048,187,29
1049,142,60
1050,190,33
1051,165,65
1052,152,53
1053,162,119
1054,74,8
1055,187,52
1056,194,76
1057,72,9
1058,158,137
1059,194,59
1060,152,12
1061,164,43
1062,197,15
1063,188,25
1064,163,78
1065,163,24
1066,197,24
1067,66,8
1068,176,30
1069,79,11
1070,201,31
1071,175,16
1072,163,59
1073,192,12
1074,175,74
1075,162,43
1076,158,86
1077,185,28
1078,186,84
1079,189,83
1080,180,39
1081,158,99
1082,200,20
1083,169,34
1084,164,30
1085,194,40
1086,176,10
1087,191,71
1088,169,119
1089,184,37
1090,170,111
1091,155,31
1092,191,28
1093,161,99
1094,166,20
1095,172,109
1096,155,32
1097,137,12
1098,166,12
1099,185,35
1100,166,111
1101,194,46
1102,169,107
1103,127,12
1104,155,26
1105,166,36
1106,155,33
1107,175,22
1108,183,74
1109,194,85
1110,153,91
1111,170,113
1112,185,32
1113,156,35
1114,194,17
1115,187,37
1116,154,29
1117,154,80
1118,159,106
1119,181,11
1120,165,113
1121,172,96
1122,158,66
1123,158,71
1124,158,91
1125,165,34
1126,167,28
1127,175,102
1128,143,54
1129,167,99
1130,168,98
1131,159,40
1132,187,79
1133,155,31
1134,200,69
1135,171,67
1136,168,55
1137,185,41
1138,173,11
1139,189,80
1140,175,27
1141,187,8
1142,149,8
1143,153,28
1144,175,93
1145,147,20
1146,194,50
1147,186,23
1148,166,19
1149,157,64
1150,188,46
1151,169,13
1152,158,42
1153,181,49
1154,198,11
1155,170,8
1156,52,8
1157,183,65
1158,182,62
1159,158,104
1160,149,84
1161,154,76
1162,163,108
1163,154,10
1164,172,44
1165,156,121
1166,184,32
1167,163,35
1168,174,29
1169,177,9
1170,148,38
1171,149,42
1172,194,63
1173,161,73
1174,165,41
1175,165,110
1176,171,115
1177,165,68
1178,156,45
1179,163,83
1180,183,75
1181,163,59
1182,141,51
1183,177,43
1184,192,37
1185,158,43
1186,141,8
1187,200,11
1188,205,94
1189,152,56
1190,185,41
1191,161,56
1192,168,26
1193,198,26
1194,168,81
1195,159,35
1196,156,78
1197,162,94
1198,186,24
1199,160,127
1200,152,58
1201,125,16
1202,188,52
1203,181,35
1204,176,12
1205,164,104
1206,155,35
1207,157,92
1208,149,30
1209,161,88
1210,176,32
1211,200,12
1212,193,71
1213,195,72
1214,153,39
1215,204,10
1216,210,29
1217,162,142
1218,152,52
1219,166,27
1220,173,78
1221,190,78
1222,186,67
1223,159,35
1224,181,23
1225,152,70
1226,177,27
1227,150,60
1228,159,33
1229,159,13
1230,167,10
1231,170,99
1232,178,100
1233,178,32
1234,154,62
1235,191,41
1236,193,139
1237,162,101
1238,150,52
1239,176,26
1240,197,80
1241,148,29
1242,171,87
1243,173,11
1244,164,52
1245,139,15
1246,157,47
1247,164,19
1248,209,43
1249,159,37
1250,190,120
1251,158,109
1252,105,208
1253,161,102
1254,165,102
1255,156,42
1256,202,8
1257,174,100
1258,157,23
1259,202,79
1260,170,88
1261,150,38
1262,184,78
1263,163,99
1264,161,110
1265,195,22
1266,182,32
1267,153,17
1268,187,30
1269,190,43
1270,164,109
1271,158,29
1272,75,9
1273,170,23
1274,164,33
1275,185,82
1276,188,50
1277,219,14
1278,154,61
1279,149,117
1280,187,38
1281,198,28
1282,185,77
1283,156,47
1284,178,45
1285,186,63
1286,169,31
1287,163,107
1288,159,115
1289,191,18
1290,184,27
1291,187,79
1292,41,9
1293,174,18
1294,176,36
1295,143,18
1296,190,75
1297,188,58
1298,46,8
1299,199,40
1300,156,27
1301,204,164
1302,166,70
1303,199,29
1304,163,126
1305,191,95
1306,186,41
1307,178,97
1308,196,52
1309,83,8
1310,151,109
1311,160,112
1312,156,92
1313,141,14
1314,189,19
1315,159,39
1316,190,84
1317,155,41
1318,182,8
1319,174,21
1320,164,33
1321,167,33
1322,189,76
1323,158,35
1324,183,79
1325,161,70
1326,64,10
1327,163,94
1328,163,116
1329,192,38
1330,172,10
1331,151,15
1332,158,37
1333,150,38
1334,144,16
1335,173,21
1336,187,54
1337,195,33
1338,172,97
1339,185,59
1340,146,20
1341,157,101
1342,236,10
1343,186,45
1344,166,69
1345,65,14
1346,185,44
1347,201,41
1348,163,92
1349,167,95
1350,166,103
1351,165,115
1352,157,51
1353,51,8
1354,23,7
1355,170,90
1356,156,78
1357,155,28
1358,168,41
1359,160,115
1360,155,17
1361,168,27
1362,160,64
1363,163,114
1364,160,35
1365,43,8
1366,166,110
1367,147,34
1368,179,85
1369,199,8
1370,184,67
1371,127,34
1372,83,7
1373,179,19
1374,186,61
1375,155,98
1376,162,26
1377,152,11
1378,45,9
1379,155,29
1380,164,88
1381,159,48
1382,159,68
1383,179,55
1384,163,123
1385,185,51
1386,198,62
1387,163,51
1388,194,29
1389,51,11
1390,168,152
1391,160,42
1392,194,14
1393,185,26
1394,199,76
1395,192,23
1396,81,14
1397,162,104
1398,173,27
1399,164,81
1400,170,91
1401,199,15
1402,184,42
1403,172,55
1404,194,25
1405,195,79
1406,175,26
1407,187,34
1408,195,44
1409,197,21
1410,201,24
1411,170,59
1412,182,25
1413,161,38
1414,174,16
1415,185,39
1416,189,85
1417,162,58
1418,162,20
1419,171,100
1420,154,26
1421,188,74
1422,168,17
1423,161,41
1424,167,86
1425,168,49
1426,182,19
1427,57,8
1428,156,121
1429,195,22
1430,186,30
1431,191,10
1432,189,33
1433,174,97
1434,157,128
1435,69,10
1436,193,57
1437,173,35
1438,162,99
1439,178,14
1440,154,12
1441,191,76
1442,188,43
1443,154,44
1444,168,106
1445,188,74
1446,165,32
1447,190,102
1448,163,54
1449,192,68
1450,157,114
1451,173,42
1452,171,98
1453,172,40
1454,160,47
1455,162,96
1456,177,32
1457,176,211
1458,194,30
1459,169,35
1460,173,46
1461,160,70
1462,167,79
1463,157,114
1464,153,112
1465,157,111
1466,152,120
1467,83,13
1468,163,103
1469,173,102
1470,160,74
1471,157,44
1472,167,60
1473,192,11
1474,180,72
1475,192,71
1476,190,11
1477,161,39
1478,197,67
1479,171,112
1480,97,8
1481,88,9
1482,188,77
1483,161,111
1484,200,34
1485,152,22
1486,163,64
1487,173,65
1488,164,95
1489,164,60
1490,161,110
1491,196,76
1492,160,117
1493,165,104
1494,239,9
1495,169,82
1496,169,102
1497,152,91
1498,159,109
1499,141,8
1500,159,116
1501,165,68
1502,196,27
1503,174,23
1504,164,40
1505,179,77
1506,148,27
1507,39,9
1508,169,18
1509,170,37
1510,168,109
1511,185,51
1512,182,46
1513,169,20
1514,143,11
1515,173,33
1516,194,72
1517,140,22
1518,161,104
1519,165,95
1520,171,93
1521,152,38
1522,176,46
1523,157,53
1524,86,11
1525,192,27
1526,94,10
1527,169,35
1528,166,18
1529,189,45
1530,181,39
1531,143,19
1532,162,55
1533,160,46
1534,185,14
1535,163,100
1536,158,62
1537,185,16
1538,176,78
1539,162,61
1540,151,95
1541,182,46
1542,160,40
1543,176,73
1544,180,9
1545,164,109
1546,185,77
1547,184,69
1548,183,76
1549,150,32
1550,159,115
1551,184,21
1552,149,45
1553,158,101
1554,63,10
1555,156,42
1556,167,70
1557,156,23
1558,170,17
1559,156,30
1560,157,52
1561,161,37
1562,157,35
1563,180,10
1564,165,113
1565,166,30
1566,164,113
1567,67,8
1568,185,48
1569,187,76
1570,161,56
1571,206,40
1572,71,39
1573,190,60
1574,190,10
1575,187,68
1576,302,21
1577,142,54
1578,178,13
1579,165,65
1580,189,66
1581,163,26
1582,164,134
1583,173,22
1584,199,75
1585,137,39
1586,44,9
1587,148,27
1588,195,32
1589,152,8
1590,194,28
1591,161,19
1592,192,34
1593,160,63
1594,140,23
1595,192,66
1596,168,149
1597,156,42
1598,145,12
1599,71,9
1600,197,72
1601,156,80
1602,194,39
1603,153,26
1604,160,14
1605,168,24
1606,170,30
1607,199,21
1608,74,8
1609,115,12
1610,196,152
1611,191,35
1612,39,7
1613,182,11
1614,191,37
1615,146,40
1616,190,75
1617,184,80
1618,137,11
1619,175,24
1620,167,45
1621,169,27
1622,175,35
1623,156,61
1624,158,102
1625,203,28
1626,258,12
1627,187,72
1628,162,27
1629,182,25
1630,213,10
1631,195,71
1632,60,12
1633,196,13
1634,148,115
1635,160,114
1636,166,121
1637,161,17
1638,146,32
1639,160,67
1640,224,10
1641,194,32
1642,182,41
1643,153,32
1644,161,20
1645,183,34
1646,187,26
1647,170,101
1648,193,67
1649,159,78
1650,163,113
1651,159,102
1652,158,59
1653,159,74
1654,189,32
1655,144,8
1656,159,56
1657,110,9
1658,199,14
1659,177,17
1660,158,99
1661,182,28
1662,162,48
1663,154,10
1664,142,48
1665,162,63
1666,198,32
1667,170,25
1668,187,88
1669,158,93
1670,195,48
1671,80,7
1672,157,99
1673,193,69
1674,195,10
1675,173,40
1676,206,16
1677,163,60
1678,154,94
1679,178,45
1680,158,56
1681,180,46
1682,163,72
1683,148,20
1684,160,116
1685,155,70
1686,170,111
1687,169,117
1688,202,49
1689,171,29
1690,184,19
1691,190,70
1692,150,24
1693,184,15
1694,161,71
1695,183,68
1696,184,49
1697,38,8
1698,184,29
1699,165,38
1700,194,74
1701,155,8
1702,182,52
1703,155,81
1704,157,127
1705,166,113
1706,177,31
1707,162,42
1708,161,52
1709,172,148
1710,163,100
1711,157,124
1712,145,37
1713,164,62
1714,189,78
1715,156,32
1716,119,11
1717,134,15
1718,150,34
1719,96,8
1720,160,38
1721,176,8
1722,156,28
1723,187,51
1724,177,25
1725,154,41
1726,103,10
1727,176,21
1728,170,33
1729,172,12
1730,188,81
1731,163,53
1732,156,72
1733,147,36
1734,164,71
1735,196,41
1736,188,83
1737,169,90
1738,182,59
1739,161,58
1740,199,35
1741,144,12
1742,44,7
1743,159,102
1744,200,40
1745,157,28
1746,162,92
1747,167,114
1748,171,47
1749,182,52
1750,191,79
1751,184,16
1752,171,60
1753,198,77
1754,165,56
1755,174,9
1756,155,32
1757,192,49
1758,160,96
1759,144,20
1760,177,32
1761,185,27
1762,162,53
1763,144,35
1764,211,28
1765,13,8
1766,160,100
1767,150,42
1768,149,114
1769,163,68
1770,182,40
1771,164,83
1772,153,63
1773,188,12
1774,155,53
1775,199,24
1776,169,8
1777,210,28
1778,146,10
1779,142,19
1780,188,37
1781,95,10
1782,149,58
1783,160,110
1784,190,78
1785,203,10
1786,188,23
1787,153,23
1788,186,41
1789,160,40
1790,201,75
1791,140,14
1792,157,40
1793,168,115
1794,147,36
1795,164,115
1796,183,8
1797,178,12
1798,64,7
1799,162,121
1800,171,32
1801,184,75
1802,196,29
1803,188,37
1804,180,211
1805,149,66
1806,35,7
1807,235,9
1808,175,98
1809,162,214
1810,167,120
1811,192,21
1812,191,74
1813,193,27
1814,152,44
1815,193,24
1816,195,165
1817,65,8
1818,198,68
1819,178,15
1820,188,24
1821,153,51
1822,155,43
1823,194,16
1824,162,92
1825,192,33
1826,174,30
1827,154,43
1828,168,67
1829,179,40
1830,195,76
1831,193,59
1832,51,7
1833,181,9
1834,186,28
1835,156,37
1836,148,47
1837,164,44
1838,195,75
1839,164,48
1840,156,32
1841,163,74
1842,196,83
1843,171,96
1844,162,9
1845,187,21
1846,194,34
1847,158,90
1848,164,44
1849,176,40
1850,178,55
1851,174,38
1852,190,42
1853,167,64
1854,155,36
1855,153,36
1856,199,47
1857,135,11
1858,70,10
1859,174,13
1860,175,44
1861,198,7
1862,166,112
1863,155,38
1864,193,21
1865,162,68
1866,167,103
1867,143,10
1868,187,30
1869,180,89
1870,159,141
1871,159,107
1872,176,27
1873,174,35
1874,195,74
1875,68,11
1876,161,100
1877,167,116
1878,165,18
1879,189,39
1880,165,19
1881,162,36
1882,194,53
1883,175,13
1884,167,162
1885,159,99
1886,202,35
1887,164,116
1888,195,16
1889,201,12
1890,162,122
1891,158,66
1892,148,43
1893,165,44
1894,156,50
1895,163,25
1896,44,8
1897,160,88
1898,168,55
1899,154,46
1900,166,101
1901,160,47
1902,160,97
1903,182,10
1904,190,34
1905,163,63
1906,184,76
1907,157,74
1908,168,25
1909,147,34
1910,194,75
1911,169,48
1912,153,109
1913,46,8
1914,191,40
1915,155,113
1916,163,29
1917,183,33
1918,195,13
1919,192,33
1920,143,18
1921,184,48
1922,187,21
1923,154,32
1924,176,98
1925,178,35
1926,192,36
1927,145,49
1928,61,9
1929,101,8
1930,182,12
1931,188,87
1932,164,123
1933,184,75
1934,185,33
1935,156,119
1936,151,65
1937,62,8
1938,164,83
1939,170,79
1940,159,22
1941,147,33
1942,155,35
1943,185,80
1944,187,79
1945,185,59
1946,165,38
1947,171,59
1948,25,211
1949,160,119
1950,166,99
1951,154,178
1952,195,42
1953,156,28
1954,153,100
1955,148,13
1956,160,93
1957,187,38
1958,193,27
1959,82,55
1960,152,28
1961,178,36
1962,186,75
1963,156,49
1964,190,25
1965,157,59
1966,167,133
1967,187,41
1968,176,24
1969,160,80
1970,159,129
1971,156,86
1972,186,51
1973,188,38
1974,163,126
1975,157,79
1976,188,73
1977,162,9
1978,186,11
1979,200,48
1980,183,71
1981,164,18
1982,191,83
1983,194,13
1984,157,87
1985,198,23
1986,162,110
1987,191,70
1988,135,15
1989,181,31
1990,154,31
1991,90,8
1992,146,11
1993,178,35
1994,163,118
1995,180,45
1996,195,41
1997,164,96
1998,162,134
1999,149,57
2000,189,64
2001,178,33
2002,150,47
2003,158,47
2004,181,81
2005,169,16
2006,165,154
2007,180,40
2008,163,34
2009,191,29
2010,193,43
2011,135,16
2012,170,28
2013,178,43
2014,187,12
2015,159,71
2016,161,121
2017,206,24
2018,165,34
2019,166,22
2020,197,83
2021,190,24
2022,156,174
2023,182,93
2024,175,21
2025,171,37
2026,158,9
2027,192,36
2028,178,18
2029,186,20
2030,181,21
2031,150,39
2032,193,43
2033,158,105
2034,152,71
2035,162,52
2036,166,39
2037,192,74
2038,195,54
2039,169,49
2040,182,63
2041,189,75
2042,183,43
2043,168,30
2044,163,75
2045,193,34
2046,160,91
2047,75,8
2048,167,19
2049,196,15
2050,155,9
2051,186,40
2052,133,22
2053,154,70
2054,190,45
2055,166,43
2056,198,36
2057,186,28
2058,160,48
2059,162,53
2060,149,39
2061,190,44
2062,201,18
2063,168,74
2064,180,36
2065,166,118
2066,164,18
2067,189,78
2068,195,47
2069,162,43
2070,168,31
2071,159,63
2072,163,66
2073,171,18
2074,186,51
2075,151,110
2076,159,118
2077,186,61
2078,185,93
2079,138,8
2080,185,48
2081,160,49
2082,144,65
2083,189,34
2084,195,46
2085,158,156
2086,174,83
2087,197,14
2088,178,37
2089,193,13
2090,137,35
2091,159,107
2092,159,33
2093,166,9
2094,161,52
2095,190,25
2096,174,11
2097,195,73
2098,149,26
2099,166,41
2100,153,9
2101,163,105
2102,178,17
2103,162,25
2104,161,38
2105,191,73
2106,153,20
2107,154,7
2108,166,68
2109,147,109
2110,169,10
2111,153,50
2112,182,25
2113,160,19
2114,169,71
2115,135,34
2116,148,14
2117,196,74
2118,193,36
2119,162,56
2120,161,44
2121,170,19
2122,208,48
2123,149,56
2124,189,35
2125,190,21
2126,155,23
2127,165,107
2128,168,109
2129,150,60
2130,161,109
2131,178,39
2132,161,40
2133,31,9
2134,74,10
2135,171,66
2136,160,63
2137,154,28
2138,178,36
